Model,DPO2024B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.1,,,
Sample Interval,0.000192012,,,
Filter Frequency,2e+08,,,
Record Length,5192,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.5,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-4.242e-01,0.07,0.33,10,10.2
-4.240e-01,0.07,-0.05,9.8,9.4
-4.238e-01,0.09,0.27,9.8,10.2
-4.236e-01,0.09,-0.00999999,10,9.4
-4.234e-01,0.09,0.19,10,10.2
-4.232e-01,0.11,-0.00999999,9.8,9.4
-4.230e-01,0.07,0.15,10,10.2
-4.228e-01,0.09,-0.00999999,10,9.4
-4.226e-01,0.07,0.15,9.8,10.2
-4.224e-01,0.09,-0.00999999,9.8,9.4
-4.222e-01,0.07,0.17,9.8,10.2
-4.220e-01,0.09,-0.00999999,9.8,9.4
-4.219e-01,0.07,0.15,9.8,10.2
-4.217e-01,0.09,0.01,9.8,9.4
-4.215e-01,0.07,0.15,9.8,10.2
-4.213e-01,0.09,0.01,9.8,9.4
-4.211e-01,0.09,0.15,9.8,10.2
-4.209e-01,0.07,-0.11,9.8,9.4
-4.207e-01,0.07,0.53,9.8,10.2
-4.205e-01,0.07,-0.11,9.6,9.4
-4.203e-01,0.09,0.53,9.8,10.2
-4.201e-01,0.09,-0.13,9.6,9.4
-4.199e-01,0.07,0.55,9.6,10.2
-4.197e-01,0.07,-0.13,9.8,9.4
-4.195e-01,0.07,0.57,9.8,10
-4.194e-01,0.07,-0.15,9.8,9.4
-4.192e-01,0.09,0.59,9.8,10.2
-4.190e-01,0.09,-0.15,9.8,9.2
-4.188e-01,0.05,0.57,9.6,10
-4.186e-01,0.07,-0.17,9.8,9.2
-4.184e-01,0.07,0.59,9.8,10
-4.182e-01,0.07,-0.19,9.6,9.2
-4.180e-01,0.11,0.59,9.8,10
-4.178e-01,0.09,-0.31,9.6,9.2
-4.176e-01,0.07,0.55,9.8,10
-4.174e-01,0.07,-0.27,9.6,9.2
-4.172e-01,0.05,0.55,9.6,10
-4.171e-01,0.07,-0.29,9.8,9.2
-4.169e-01,0.09,0.55,9.6,10
-4.167e-01,0.09,-0.31,9.6,9.2
-4.165e-01,0.11,0.57,9.8,10
-4.163e-01,0.07,-0.29,9.8,9.2
-4.161e-01,0.09,0.53,9.8,10
-4.159e-01,0.07,-0.27,9.8,9.4
-4.157e-01,0.11,0.41,9.6,10.2
-4.155e-01,0.07,-0.25,9.8,9.4
-4.153e-01,0.09,0.37,9.8,10.2
-4.151e-01,0.09,-0.23,9.8,9.4
-4.149e-01,0.09,0.37,9.8,10.2
-4.147e-01,0.09,-0.23,9.8,9.4
-4.146e-01,0.09,0.41,9.8,10.2
-4.144e-01,0.11,-0.21,9.8,9.4
-4.142e-01,0.11,0.37,9.8,10.2
-4.140e-01,0.09,-0.17,10,9.4
-4.138e-01,0.11,0.33,9.8,10.2
-4.136e-01,0.09,-0.17,9.8,9.4
-4.134e-01,0.11,0.33,10,10.2
-4.132e-01,0.11,-0.17,9.8,9.4
-4.130e-01,0.09,0.33,10,10.2
-4.128e-01,0.09,-0.23,9.8,9.4
-4.126e-01,0.07,0.43,9.8,10.4
-4.124e-01,0.11,-0.25,10,9.4
-4.123e-01,0.09,0.47,9.8,10.2
-4.121e-01,0.09,-0.27,9.8,9.4
-4.119e-01,0.07,0.45,10,10.4
-4.117e-01,0.07,-0.27,9.8,9.4
-4.115e-01,0.09,0.43,9.8,10.2
-4.113e-01,0.09,-0.25,9.8,9.4
-4.111e-01,0.09,0.43,10,10.4
-4.109e-01,0.09,-0.23,9.8,9.6
-4.107e-01,0.09,0.45,10,10.4
-4.105e-01,0.07,-0.23,10,9.6
-4.103e-01,0.09,0.45,9.8,10.4
-4.101e-01,0.15,-0.17,9.8,9.6
-4.099e-01,0.09,0.45,9.8,10.4
-4.098e-01,0.07,-0.15,10,9.6
-4.096e-01,0.09,0.47,9.8,10.4
-4.094e-01,0.09,-0.15,10,9.4
-4.092e-01,0.07,0.47,9.8,10.4
-4.090e-01,0.07,-0.13,9.8,9.6
-4.088e-01,0.09,0.43,9.8,10.4
-4.086e-01,0.07,-0.11,10,9.6
-4.084e-01,0.09,0.41,10,10.4
-4.082e-01,0.07,-0.11,10,9.4
-4.080e-01,0.09,0.39,9.8,10.2
-4.078e-01,0.09,-0.11,10,9.4
-4.076e-01,0.07,0.37,9.8,10.2
-4.075e-01,0.07,-0.07,9.8,9.4
-4.073e-01,0.09,0.31,10,10.2
-4.071e-01,0.07,-0.00999999,9.8,9.4
-4.069e-01,0.09,0.23,9.8,10.2
-4.067e-01,0.09,-0.00999999,9.8,9.4
-4.065e-01,0.09,0.17,9.8,10.2
-4.063e-01,0.09,-0.00999999,9.8,9.4
-4.061e-01,0.09,0.15,9.8,10.2
-4.059e-01,0.09,-0.00999999,10,9.4
-4.057e-01,0.07,0.17,9.8,10.2
-4.055e-01,0.07,-0.00999999,9.8,9.4
-4.053e-01,0.07,0.15,9.8,10.2
-4.051e-01,0.09,-0.00999999,9.8,9.4
-4.050e-01,0.07,0.15,9.8,10.2
-4.048e-01,0.07,0.01,9.8,9.4
-4.046e-01,0.07,0.13,10,10.2
-4.044e-01,0.07,-0.11,9.8,9.4
-4.042e-01,0.09,0.51,9.6,10.2
-4.040e-01,0.07,-0.13,10,9.4
-4.038e-01,0.07,0.53,9.6,10.2
-4.036e-01,0.07,-0.13,9.8,9.4
-4.034e-01,0.09,0.55,9.8,10.2
-4.032e-01,0.07,-0.13,9.8,9.2
-4.030e-01,0.07,0.55,9.8,10
-4.028e-01,0.09,-0.13,9.6,9.2
-4.026e-01,0.07,0.57,9.6,10.2
-4.025e-01,0.05,-0.15,9.6,9.2
-4.023e-01,0.07,0.57,9.8,10.2
-4.021e-01,0.07,-0.17,9.6,9.2
-4.019e-01,0.07,0.59,9.6,10
-4.017e-01,0.09,-0.17,9.8,9.4
-4.015e-01,0.07,0.57,9.6,10
-4.013e-01,0.09,-0.23,9.8,9.2
-4.011e-01,0.07,0.57,9.8,10
-4.009e-01,0.05,-0.29,9.8,9.2
-4.007e-01,0.07,0.55,9.6,10
-4.005e-01,0.07,-0.29,9.8,9.2
-4.003e-01,0.07,0.55,9.6,10
-4.002e-01,0.09,-0.29,9.8,9.4
-4.000e-01,0.09,0.55,9.8,10
-3.998e-01,0.07,-0.29,9.6,9.2
-3.996e-01,0.07,0.55,9.6,10.2
-3.994e-01,0.07,-0.27,9.6,9.4
-3.992e-01,0.09,0.43,9.6,10.2
-3.990e-01,0.09,-0.23,9.6,9.4
-3.988e-01,0.13,0.37,9.6,10.2
-3.986e-01,0.09,-0.23,9.6,9.4
-3.984e-01,0.11,0.37,9.8,10.2
-3.982e-01,0.09,-0.23,9.8,9.4
-3.980e-01,0.09,0.37,9.8,10.2
-3.978e-01,0.09,-0.21,9.8,9.4
-3.977e-01,0.11,0.35,10,10.2
-3.975e-01,0.11,-0.19,10,9.4
-3.973e-01,0.09,0.35,9.8,10.2
-3.971e-01,0.09,-0.19,9.8,9.4
