Model,DPO2024B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.02,,,
Sample Interval,3.84025e-05,,,
Filter Frequency,2e+08,,,
Record Length,5208,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,2,,2,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-8.6748e-02,1.32,1.16,1.36,1.12
-8.6709e-02,1.32,1.64,1.36,1.6
-8.6671e-02,1.32,1.08,1.36,1.12
-8.6633e-02,1.32,1.64,1.36,1.68
-8.6594e-02,1.24,1,1.36,1.2
-8.6556e-02,1.24,1.56,1.36,1.68
-8.6517e-02,1.24,1,1.44,1.2
-8.6479e-02,1.24,1.56,1.44,1.68
-8.6441e-02,1.24,1,1.44,1.2
-8.6402e-02,1.32,1.56,1.44,1.68
-8.6364e-02,1.24,1,1.44,1.2
-8.6325e-02,1.24,1.56,1.52,1.68
-8.6287e-02,1.24,1,1.44,1.2
-8.6249e-02,1.24,1.56,1.44,1.76
-8.6210e-02,1.24,1,1.52,1.28
-8.6172e-02,1.24,1.48,1.52,1.76
-8.6133e-02,1.24,1,1.52,1.28
-8.6095e-02,1.16,1.48,1.52,1.76
-8.6057e-02,1.24,1,1.52,1.28
-8.6018e-02,1.24,1.48,1.52,1.76
-8.5980e-02,1.16,0.92,1.52,1.28
-8.5941e-02,1.24,1.56,1.6,1.84
-8.5903e-02,1.16,0.92,1.52,1.36
-8.5865e-02,1.16,1.48,1.52,1.84
-8.5826e-02,1.16,0.92,1.6,1.36
-8.5788e-02,1.16,1.48,1.6,1.84
-8.5749e-02,1.16,0.92,1.6,1.36
-8.5711e-02,1.16,1.48,1.68,1.84
-8.5673e-02,1.16,0.92,1.6,1.44
-8.5634e-02,1.16,1.4,1.6,1.92
-8.5596e-02,1.08,0.92,1.6,1.44
-8.5557e-02,1.16,1.4,1.6,1.92
-8.5519e-02,1.08,0.92,1.68,1.44
-8.5480e-02,1.08,1.48,1.68,1.92
-8.5442e-02,1.16,0.92,1.68,1.44
-8.5404e-02,1.16,1.48,1.68,1.92
-8.5365e-02,1.16,0.92,1.68,1.52
-8.5327e-02,1.16,1.48,1.68,1.92
-8.5288e-02,1.16,0.92,1.68,1.52
-8.5250e-02,1.16,1.48,1.68,2
-8.5212e-02,1.16,0.92,1.68,1.52
-8.5173e-02,1.16,1.4,1.68,2
-8.5135e-02,1.08,0.92,1.68,1.6
-8.5096e-02,1.16,1.4,1.76,2
-8.5058e-02,1.16,0.92,1.76,1.6
-8.5020e-02,1.08,1.4,1.76,2
-8.4981e-02,1.08,0.92,1.76,1.52
-8.4943e-02,1.08,1.48,1.76,2.08
-8.4904e-02,1.16,0.92,1.76,1.6
-8.4866e-02,1.16,1.48,1.76,2
-8.4828e-02,1.16,0.92,1.76,1.6
-8.4789e-02,1.16,1.48,1.84,2.08
-8.4751e-02,1.16,0.92,1.84,1.6
-8.4712e-02,1.24,1.48,1.84,2.08
-8.4674e-02,1.16,0.84,1.84,1.52
-8.4636e-02,1.08,1.48,1.84,2.08
-8.4597e-02,1.16,0.84,1.92,1.6
-8.4559e-02,1.16,1.48,1.84,2.08
-8.4520e-02,1.16,0.84,1.84,1.6
-8.4482e-02,1.16,1.48,1.84,2.08
-8.4444e-02,1.16,0.84,1.92,1.6
-8.4405e-02,1.24,1.48,1.92,2.24
-8.4367e-02,1.16,0.84,2,1.76
-8.4328e-02,1.24,1.48,1.92,2.24
-8.4290e-02,1.16,0.84,1.92,1.76
-8.4252e-02,1.16,1.48,1.92,2.24
-8.4213e-02,1.16,0.84,2,1.68
-8.4175e-02,1.16,1.48,2,2.24
-8.4136e-02,1.16,0.84,1.92,1.76
-8.4098e-02,1.16,1.48,1.92,2.24
-8.4060e-02,1.24,0.84,2,1.76
-8.4021e-02,1.16,1.48,2,2.32
-8.3983e-02,1.16,0.84,2.08,1.84
-8.3944e-02,1.16,1.48,2.08,2.32
-8.3906e-02,1.16,0.84,2.08,1.84
-8.3868e-02,1.16,1.48,2.08,2.32
-8.3829e-02,1.08,0.84,2.08,1.84
-8.3791e-02,1.16,1.48,2.08,2.32
-8.3752e-02,1.16,0.84,2.08,1.92
-8.3714e-02,1.16,1.48,2.08,2.4
-8.3676e-02,1.16,0.84,2.16,1.92
-8.3637e-02,1.16,1.48,2.08,2.4
-8.3599e-02,1.08,0.84,2.16,1.92
-8.3560e-02,1.16,1.48,2.08,2.4
