Model,DPO2024B
Firmware Version,1.52

Point Format,Y,,,,,
Horizontal Units,S,,,,,
Horizontal Scale,0.01,,,,,
Sample Interval,1.92012e-05,,,,,
Filter Frequency,2e+08,,,,,
Record Length,5208,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,,10,
Vertical Units,V,,V,,V,
Vertical Offset,0,,0,,0,
Vertical Scale,1,,0.5,,0.2,
Label,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect
2.3024e-02,-1.43051e-08,-0.08,0.62,0.48,-0.356,-0.396
2.3043e-02,-1.43051e-08,0.04,0.62,0.8,-0.372,-0.332
2.3063e-02,-0.04,-0.08,0.6,0.46,-0.38,-0.412
2.3082e-02,-1.43051e-08,0.04,0.6,0.78,-0.38,-0.356
2.3101e-02,-1.43051e-08,-0.08,0.6,0.5,-0.38,-0.412
2.3120e-02,-1.43051e-08,0.04,0.6,0.78,-0.38,-0.348
2.3139e-02,-1.43051e-08,-0.08,0.64,0.58,-0.372,-0.388
2.3159e-02,-1.43051e-08,0.04,0.6,0.68,-0.356,-0.34
2.3178e-02,-0.04,-0.08,0.62,0.5,-0.372,-0.396
2.3197e-02,-1.43051e-08,0.04,0.62,0.8,-0.372,-0.34
2.3216e-02,-1.43051e-08,-0.08,0.62,0.52,-0.372,-0.412
2.3235e-02,0.04,0.04,0.6,0.8,-0.38,-0.356
2.3255e-02,-0.04,-0.08,0.62,0.48,-0.396,-0.428
2.3274e-02,-1.43051e-08,0.04,0.62,0.78,-0.396,-0.372
2.3293e-02,-1.43051e-08,-0.08,0.6,0.48,-0.42,-0.428
2.3312e-02,-1.43051e-08,0.04,0.6,0.8,-0.396,-0.372
2.3331e-02,-0.04,-0.08,0.62,0.58,-0.396,-0.412
2.3351e-02,-1.43051e-08,0.04,0.66,0.7,-0.372,-0.356
2.3370e-02,-0.04,-0.08,0.64,0.52,-0.388,-0.404
2.3389e-02,-1.43051e-08,0.04,0.64,0.82,-0.388,-0.348
2.3408e-02,-1.43051e-08,-0.08,0.66,0.54,-0.396,-0.42
2.3427e-02,-1.43051e-08,0.04,0.58,0.82,-0.38,-0.364
2.3447e-02,-0.04,-0.08,0.62,0.52,-0.404,-0.436
2.3466e-02,-0.04,0.04,0.64,0.82,-0.404,-0.38
2.3485e-02,-1.43051e-08,-0.08,0.6,0.58,-0.42,-0.436
2.3504e-02,-0.04,0.04,0.64,0.68,-0.42,-0.38
2.3524e-02,-0.04,-0.08,0.64,0.52,-0.404,-0.428
2.3543e-02,-1.43051e-08,0.04,0.66,0.82,-0.388,-0.364
2.3562e-02,-0.04,-0.08,0.66,0.54,-0.388,-0.404
2.3581e-02,-0.04,0.04,0.68,0.84,-0.396,-0.356
2.3600e-02,-0.04,-0.08,0.68,0.54,-0.38,-0.412
2.3620e-02,-1.43051e-08,0.04,0.66,0.86,-0.38,-0.364
2.3639e-02,-1.43051e-08,-0.08,0.66,0.54,-0.38,-0.42
2.3658e-02,-1.43051e-08,0.04,0.68,0.84,-0.388,-0.364
2.3677e-02,-1.43051e-08,-0.08,0.66,0.62,-0.404,-0.42
2.3696e-02,-0.04,0.04,0.66,0.72,-0.388,-0.372
2.3716e-02,-1.43051e-08,-0.08,0.68,0.6,-0.396,-0.42
2.3735e-02,-1.43051e-08,0.04,0.68,0.82,-0.388,-0.348
2.3754e-02,-1.43051e-08,-0.2,0.7,0.62,-0.38,-0.396
2.3773e-02,-0.08,0.04,0.72,0.88,-0.38,-0.34
2.3792e-02,-0.12,-0.16,0.7,0.6,-0.372,-0.404
2.3812e-02,-1.43051e-08,0.16,0.72,0.88,-0.364,-0.34
2.3831e-02,0.08,-1.43051e-08,0.7,0.6,-0.38,-0.404
2.3850e-02,0.12,0.36,0.72,0.86,-0.372,-0.356
2.3869e-02,0.2,0.12,0.72,0.66,-0.388,-0.412
2.3888e-02,0.32,0.44,0.72,0.76,-0.38,-0.356
2.3908e-02,0.4,0.2,0.7,0.6,-0.38,-0.412
2.3927e-02,0.48,0.56,0.7,0.86,-0.372,-0.348
2.3946e-02,0.52,0.4,0.76,0.64,-0.356,-0.38
2.3965e-02,0.68,0.76,0.76,0.92,-0.364,-0.324
2.3984e-02,0.68,0.64,0.76,0.64,-0.34,-0.364
2.4004e-02,0.76,0.96,0.78,0.94,-0.348,-0.316
2.4023e-02,0.84,0.8,0.78,0.68,-0.348,-0.372
2.4042e-02,0.92,1,0.78,0.9,-0.34,-0.324
2.4061e-02,0.96,0.76,0.78,0.7,-0.348,-0.364
2.4080e-02,0.96,1.08,0.78,0.94,-0.332,-0.316
2.4100e-02,0.96,0.8,0.78,0.68,-0.348,-0.372
2.4119e-02,1,1.12,0.78,0.92,-0.34,-0.308
2.4138e-02,1.04,0.84,0.8,0.72,-0.332,-0.34
2.4157e-02,1.12,1.2,0.84,0.98,-0.324,-0.284
2.4176e-02,1.12,0.96,0.84,0.76,-0.308,-0.324
2.4196e-02,1.12,1.36,0.84,1,-0.292,-0.268
2.4215e-02,1.2,1.16,0.84,0.78,-0.292,-0.324
2.4234e-02,1.24,1.32,0.84,0.9,-0.3,-0.276
2.4253e-02,1.24,1.08,0.84,0.74,-0.284,-0.332
2.4272e-02,1.28,1.4,0.84,0.98,-0.3,-0.268
2.4292e-02,1.32,1.12,0.84,0.72,-0.308,-0.324
2.4311e-02,1.32,1.44,0.84,0.98,-0.3,-0.276
2.4330e-02,1.36,1.2,0.84,0.74,-0.308,-0.316
2.4349e-02,1.36,1.52,0.88,1.02,-0.284,-0.252
2.4368e-02,1.44,1.32,0.86,0.78,-0.276,-0.292
2.4388e-02,1.48,1.64,0.9,1.06,-0.268,-0.228
2.4407e-02,1.52,1.44,0.88,0.82,-0.252,-0.276
2.4426e-02,1.56,1.64,0.86,0.96,-0.26,-0.228
2.4445e-02,1.6,1.44,0.88,0.8,-0.26,-0.284
2.4464e-02,1.6,1.72,0.9,1.04,-0.268,-0.236
2.4484e-02,1.64,1.48,0.88,0.8,-0.26,-0.284
2.4503e-02,1.68,1.8,1.02,1.06,-0.268,-0.228
2.4522e-02,1.68,1.52,0.9,0.82,-0.26,-0.276
2.4541e-02,1.72,1.88,0.92,1.08,-0.244,-0.212
